Churn_Probability,Actual_Churn,Risk_Segment
0,1,Dormant
0,0,Dormant
1,0,Dormant
0,1,Dormant
1,0,Dormant
0,0,Dormant
1,0,Dormant
1,0,Dormant
0,0,Dormant
1,1,Dormant
1,1,Dormant
1,0,Dormant
1,1,Dormant
1,1,Dormant
1,0,Dormant
0,1,Dormant
1,1,Dormant
1,1,Dormant
1,1,Dormant
1,0,Dormant
0,1,Dormant
0,0,Dormant
0,1,Dormant
1,1,Dormant
1,0,Dormant
0,1,Dormant
0,1,Dormant
1,1,Dormant
0,0,Dormant
0,0,Dormant
0,1,Dormant
1,0,Dormant
1,1,Dormant
1,1,Dormant
0,1,Dormant
0,0,Dormant
1,1,Dormant
1,1,Dormant
1,1,Dormant
1,1,Dormant
1,1,Dormant
0,0,Dormant
0,1,Dormant
1,0,Dormant
0,1,Dormant
0,1,Dormant
1,0,Dormant
0,1,Dormant
0,0,Dormant
0,0,Dormant
1,0,Dormant
0,0,Dormant
0,1,Dormant
0,0,Dormant
0,0,Dormant
0,0,Dormant
0,1,Dormant
0,0,Dormant
0,0,Dormant
0,0,Dormant
0,0,Dormant
0,1,Dormant
1,1,Dormant
0,0,Dormant
1,1,Dormant
1,1,Dormant
1,0,Dormant
0,0,Dormant
0,0,Dormant
0,1,Dormant
1,0,Dormant
0,1,Dormant
1,1,Dormant
1,0,Dormant
0,0,Dormant
1,0,Dormant
0,0,Dormant
0,1,Dormant
1,0,Dormant
1,1,Dormant
1,0,Dormant
0,0,Dormant
0,0,Dormant
0,1,Dormant
0,0,Dormant
1,0,Dormant
1,1,Dormant
0,1,Dormant
1,1,Dormant
0,0,Dormant
1,0,Dormant
1,1,Dormant
0,0,Dormant
1,0,Dormant
1,0,Dormant
1,0,Dormant
1,1,Dormant
0,0,Dormant
0,0,Dormant
1,0,Dormant
1,1,Dormant
0,0,Dormant
0,0,Dormant
0,0,Dormant
