Churn_Probability,Actual_Churn,Risk_Segment
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,1,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
0,0,Loyal
